Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest
2019-10-28,1.974,1.9878,1.9592,1.9618,-0.0178,1.9701,2204.0,1891.0
2019-10-29,1.9552,1.9715,1.9286,1.9563,-0.0055,1.9501,1089.0,1911.0
2019-10-30,1.9443,1.9525,1.8955,1.9022,-0.0437,1.9191,21620.0,8717.0
2019-10-31,1.9065,1.9164,1.8595,1.8758,-0.0264,1.8763,18819.0,9735.0
2019-11-01,1.874,1.9359,1.874,1.9331,0.0573,1.9108,16933.0,9224.0
2019-11-04,1.934,1.9643,1.9273,1.9405,0.0074,1.9524,16579.0,9698.0
2019-11-05,1.9417,1.9614,1.9394,1.9566,0.0161,1.95,15308.0,9205.0
2019-11-06,1.9526,1.9688,1.9198,1.9278,-0.0288,1.9433,13700.0,10088.0
2019-11-07,1.9271,1.9465,1.9122,1.9203,-0.0075,1.9307,12826.0,9500.0
2019-11-08,1.9152,1.9254,1.8718,1.9181,-0.0022,1.9017,16544.0,9530.0
2019-11-11,1.9177,1.934,1.8951,1.9142,-0.0039,1.9175,12763.0,8911.0
2019-11-12,1.9101,1.9218,1.8926,1.8976,-0.0166,1.9071,10424.0,8096.0
2019-11-13,1.8935,1.9231,1.8684,1.9125,0.0149,1.899,16508.0,7348.0
2019-11-14,1.9178,1.9402,1.9137,1.9179,0.0054,1.9274,13275.0,7913.0
2019-11-15,1.9237,1.9607,1.9028,1.948,0.0301,1.9366,14782.0,7919.0
2019-11-18,1.9481,1.9528,1.8907,1.9047,-0.0433,1.9125,14257.0,7605.0
2019-11-19,1.9015,1.906,1.8533,1.8574,-0.0473,1.8761,6256.0,7926.0
2019-11-20,1.8611,1.9127,1.8476,1.8921,0.0347,1.8844,5271.0,7147.0
2019-11-21,1.8867,1.9466,1.8843,1.9447,0.0526,1.9245,3416.0,6289.0
2019-11-22,1.9378,1.96,1.9199,1.9294,-0.0153,1.9317,5194.0,6026.0
2019-11-25,1.9375,1.9469,1.924,1.9443,0.0149,1.9333,5069.0,4714.0
2019-11-26,1.945,1.9642,1.9402,1.9606,0.0163,1.9506,1015.0,3856.0
2019-11-27,1.9561,1.9716,1.9387,1.9453,-0.0127,1.9512,11742.0,5534.0
2019-11-28,1.9392,1.9547,1.9356,1.9543,0.009,1.9447,1073.0,4823.0
2019-11-29,1.9517,1.9533,1.8753,1.8785,-0.0758,1.9027,7402.0,4934.0
2019-12-02,1.8891,1.9233,1.8822,1.886,0.0075,1.8984,27217.0,5635.0
2019-12-03,1.8902,1.9006,1.8699,1.8799,-0.0061,1.8822,12996.0,5605.0
2019-12-04,1.8861,1.9414,1.8854,1.9229,0.043,1.9249,22717.0,5568.0
2019-12-05,1.9257,1.9469,1.9125,1.933,0.0101,1.9314,22272.0,4883.0
2019-12-06,1.9319,1.9731,1.9193,1.9521,0.0191,1.9467,18439.0,5049.0
2019-12-09,1.9525,1.9525,1.9256,1.9442,-0.0079,1.9396,17834.0,5010.0
2019-12-10,1.9449,1.9692,1.9306,1.9655,0.0213,1.9538,10960.0,4785.0
2019-12-11,1.9543,1.9545,1.9163,1.9288,-0.0367,1.933,11549.0,4167.0
2019-12-12,1.9345,1.965,1.9305,1.9508,0.022,1.9496,17006.0,4675.0
2019-12-13,1.9598,1.9993,1.9593,1.9864,0.0356,1.9783,17146.0,4085.0
2019-12-16,1.9826,2.0114,1.9817,2.0045,0.0181,2.004,14381.0,4080.0
2019-12-17,2.0039,2.0344,2.0029,2.0334,0.0289,2.0236,20028.0,4107.0
2019-12-18,2.0262,2.0331,2.0124,2.0203,-0.0131,2.0207,18553.0,4086.0
2019-12-19,2.0208,2.0349,2.0144,2.0295,0.0092,2.0259,11835.0,4078.0
2019-12-20,2.033,2.0399,2.0151,2.0218,-0.0077,2.0283,14385.0,3950.0
2019-12-23,2.019,2.0311,2.0133,2.0222,0.0004,2.0238,13203.0,3911.0
2019-12-24,2.0244,2.0416,2.0236,2.0363,0.0141,2.032,5080.0,3949.0
2019-12-26,2.0384,2.0547,2.0384,2.0521,,2.0466,7158.0,3453.0
2019-12-27,2.0545,2.0647,2.0468,2.0496,-0.0025,2.0559,3515.0,3593.0
2019-12-30,2.0535,2.0781,2.033,2.0438,-0.0081,2.056,19960.0,3759.0
2019-12-31,2.045,2.0502,2.0169,2.0228,-0.021,2.0317,5287.0,3964.0
2020-01-02,2.0303,2.0377,2.0167,2.0241,,2.0259,25089.0,3962.0
2020-01-03,2.0326,2.1056,2.0326,2.0614,0.0373,2.072,44676.0,4273.0
2020-01-06,2.0811,2.0925,2.0194,2.0339,-0.0275,2.0471,51568.0,4966.0
2020-01-07,2.0263,2.039,2.0092,2.0324,-0.0015,2.0259,33935.0,4907.0
2020-01-08,2.1058,2.1059,1.9438,1.9582,-0.0742,1.9909,42453.0,5058.0
2020-01-09,1.9701,1.9708,1.9285,1.9501,-0.0081,1.9474,21841.0,4770.0
2020-01-10,1.9484,1.9595,1.9261,1.9284,-0.0217,1.9429,15615.0,5020.0
2020-01-13,1.9358,1.9402,1.8944,1.898,-0.0304,1.9127,21002.0,5251.0
2020-01-14,1.9018,1.9224,1.8849,1.9103,0.0123,1.9074,23076.0,5165.0
2020-01-15,1.9025,1.9153,1.8764,1.8779,-0.0324,1.8932,32603.0,5136.0
2020-01-16,1.8855,1.889,1.857,1.86,-0.0179,1.8691,36067.0,5200.0
